fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-01-03,78,ALCOBENDAS,prophet_30,real,9.0,9,74,78,78.0
2025-01-04,42,ALCOBENDAS,prophet_30,real,9.0,12,143,42,42.0
2025-01-05,87,ALCOBENDAS,prophet_30,real,9.0,13,161,87,87.0
2025-01-06,34,ALCOBENDAS,prophet_30,real,9.0,6,34,34,34.0
2025-01-07,33,ALCOBENDAS,prophet_30,real,9.0,1,1,33,33.0
2025-01-08,86,ALCOBENDAS,prophet_30,real,9.0,16,260,86,86.0
2025-01-09,37,ALCOBENDAS,prophet_30,real,9.0,7,42,37,37.0
2025-01-10,30,ALCOBENDAS,prophet_30,real,9.0,8,60,30,30.0
2025-01-11,35,ALCOBENDAS,prophet_30,real,9.0,6,37,35,35.0
2025-01-12,35,ALCOBENDAS,prophet_30,real,9.0,4,18,35,35.0
2025-01-13,83,ALCOBENDAS,prophet_30,real,9.0,5,25,83,83.0
2025-01-14,48,ALCOBENDAS,prophet_30,real,9.0,4,16,48,48.0
2025-01-15,89,ALCOBENDAS,prophet_30,real,9.0,7,45,89,89.0
2025-01-16,124,ALCOBENDAS,prophet_30,real,9.0,3,6,124,124.0
2025-01-17,50,ALCOBENDAS,prophet_30,real,9.0,2,4,50,50.0
2025-01-18,42,ALCOBENDAS,prophet_30,real,9.0,5,30,42,42.0
2025-01-19,77,ALCOBENDAS,prophet_30,real,9.0,11,121,77,77.0
2025-01-20,47,ALCOBENDAS,prophet_30,real,9.0,8,63,47,47.0
2025-01-21,34,ALCOBENDAS,prophet_30,real,9.0,8,65,34,34.0
2025-01-22,31,ALCOBENDAS,prophet_30,real,9.0,9,81,31,31.0
2025-01-23,81,ALCOBENDAS,prophet_30,real,9.0,9,83,81,81.0
2025-01-24,28,ALCOBENDAS,prophet_30,real,9.0,16,267,28,28.0
2025-01-25,29,ALCOBENDAS,prophet_30,real,9.0,11,118,29,29.0
2025-01-26,25,ALCOBENDAS,prophet_30,real,9.0,12,147,25,25.0
2025-01-27,78,ALCOBENDAS,prophet_30,real,9.0,20,396,78,78.0
2025-01-28,51,ALCOBENDAS,prophet_30,real,9.0,10,92,51,51.0
2025-01-29,35,ALCOBENDAS,prophet_30,real,9.0,0,0,35,35.0
2025-01-30,84,ALCOBENDAS,prophet_30,real,9.0,17,273,84,84.0
2025-01-31,82,ALCOBENDAS,prophet_30,real,9.0,4,13,82,82.0
2025-02-01,47,ALCOBENDAS,prophet_30,real,9.0,13,163,47,47.0
2025-02-02,85,ALCOBENDAS,prophet_30,real,9.0,16,243,85,85.0
2025-02-03,77,ALCOBENDAS,prophet_30,real,9.0,12,141,77,77.0
2025-02-04,66,ALCOBENDAS,prophet_30,real,9.0,16,254,66,66.0
2025-02-05,80,ALCOBENDAS,prophet_30,real,9.0,10,95,80,80.0
2025-02-06,76,ALCOBENDAS,prophet_30,real,9.0,1,0,76,76.0
2025-02-07,54,ALCOBENDAS,prophet_30,real,9.0,1,1,54,54.0
2025-02-08,51,ALCOBENDAS,prophet_30,real,9.0,3,10,51,51.0
2025-02-09,93,ALCOBENDAS,prophet_30,real,9.0,0,0,93,93.0
2025-02-10,63,ALCOBENDAS,prophet_30,real,9.0,3,11,63,63.0
2025-02-11,80,ALCOBENDAS,prophet_30,real,9.0,8,70,80,80.0
2025-02-12,34,ALCOBENDAS,prophet_30,real,9.0,1,2,34,34.0
2025-02-13,69,ALCOBENDAS,prophet_30,real,9.0,1,0,69,69.0
2025-02-14,78,ALCOBENDAS,prophet_30,real,9.0,4,16,78,78.0
2025-02-15,50,ALCOBENDAS,prophet_30,real,9.0,9,79,50,50.0
2025-02-16,69,ALCOBENDAS,prophet_30,real,9.0,10,105,69,69.0
2025-02-17,54,ALCOBENDAS,prophet_30,real,9.0,8,68,54,54.0
2025-02-18,77,ALCOBENDAS,prophet_30,real,9.0,11,128,77,77.0
2025-02-19,51,ALCOBENDAS,prophet_30,real,9.0,14,183,51,51.0
2025-02-20,83,ALCOBENDAS,prophet_30,real,9.0,2,4,83,83.0
2025-02-21,77,ALCOBENDAS,prophet_30,real,9.0,10,99,77,77.0
2025-02-22,39,ALCOBENDAS,prophet_30,real,9.0,8,64,39,39.0
2025-02-23,39,ALCOBENDAS,prophet_30,real,9.0,12,152,39,39.0
2025-02-24,42,ALCOBENDAS,prophet_30,real,9.0,8,58,42,42.0
2025-02-25,33,ALCOBENDAS,prophet_30,real,9.0,0,0,33,33.0
