fecha,municipio,ICA_real
2025-03-08,FUENLABRADA,72.75
2025-03-29,SAN MARTÍN DE VALDEIGLESIAS,72.75
2025-03-18,"ATAZAR, EL",72.75
2025-03-04,VILLAREJO DE SALVANÉS,72.66666666666667
2025-03-29,MÓSTOLES,72.625
2025-03-08,PARLA,72.54166666666667
2025-03-05,"ATAZAR, EL",72.5
2025-03-14,SAN SEBASTIÁN DE LOS REYES,72.45833333333333
2025-03-15,ALGETE,72.375
2025-03-10,ARGANDA DEL REY,72.375
2025-03-23,MÓSTOLES,72.375
2025-03-07,VILLAREJO DE SALVANÉS,72.23809523809524
2025-03-16,VILLAREJO DE SALVANÉS,72.20833333333333
2025-03-22,ALCALÁ DE HENARES,72.16666666666667
2025-03-22,GETAFE,72.16666666666667
2025-03-23,VILLA DEL PRADO,72.125
2025-03-11,VALDEMORO,72.04761904761905
2025-03-19,COLMENAR VIEJO,72.0
2025-03-09,ARANJUEZ,71.95833333333333
2025-03-03,COLMENAR VIEJO,71.91666666666667
2025-03-24,COLMENAR VIEJO,71.79166666666667
2025-03-08,COLLADO VILLALBA,71.75
2025-03-09,COLLADO VILLALBA,71.70833333333333
2025-03-09,RIVAS-VACIAMADRID,71.66666666666667
2025-03-21,COSLADA,71.54166666666667
2025-03-26,GUADALIX DE LA SIERRA,71.45454545454545
2025-03-19,MÓSTOLES,71.41666666666667
2025-03-28,COLLADO VILLALBA,71.375
2025-03-19,ALCALÁ DE HENARES,71.33333333333333
2025-03-22,COLLADO VILLALBA,71.29166666666667
2025-03-22,COSLADA,71.20833333333333
2025-03-16,MÓSTOLES,71.125
2025-03-14,ALCOBENDAS,71.08333333333333
2025-03-27,GUADALIX DE LA SIERRA,71.04166666666667
2025-03-29,TORREJÓN DE ARDOZ,71.0
2025-03-13,ALGETE,70.91666666666667
2025-03-01,"ROZAS, LAS",70.91666666666667
2025-03-08,SAN SEBASTIÁN DE LOS REYES,70.91666666666667
2025-03-06,ALGETE,70.875
2025-03-21,ALCOBENDAS,70.66666666666667
2025-03-26,ARGANDA DEL REY,70.625
